
| tags | error | The tags for operation "VpnSiteLinkConnections_Get" changed: [] -> ["VpnSiteLinkConnections"] |
| tags | error | The tags for operation "VpnLinkConnections_GetIkeSas" changed: [] -> ["VpnSiteLinkConnections"] |
| tags | error | The tags for operation "VpnLinkConnections_ListByVpnConnection" changed: [] -> ["VpnSiteLinkConnections"] |
| tags | error | The tags for operation "NatRules_Get" changed: [] -> ["VpnGatewayNatRules"] |
| tags | error | The tags for operation "NatRules_CreateOrUpdate" changed: [] -> ["VpnGatewayNatRules"] |
| tags | error | The tags for operation "NatRules_Delete" changed: [] -> ["VpnGatewayNatRules"] |
| tags | error | The tags for operation "NatRules_ListByVpnGateway" changed: [] -> ["VpnGatewayNatRules"] |
| tags | error | The tags for operation "P2sVpnGateways_Get" changed: [] -> ["P2SVpnGateways"] |
| tags | error | The tags for operation "P2sVpnGateways_CreateOrUpdate" changed: [] -> ["P2SVpnGateways"] |
| tags | error | The tags for operation "P2sVpnGateways_Delete" changed: [] -> ["P2SVpnGateways"] |
| tags | error | The tags for operation "P2sVpnGateways_ListByResourceGroup" changed: [] -> ["P2SVpnGateways"] |
| tags | error | The tags for operation "P2sVpnGateways_List" changed: [] -> ["P2SVpnGateways"] |
| tags | error | The tags for operation "ExpressRouteConnections_CreateOrUpdate" changed: ["ExpressRouteConnections"] -> ["ExpressRouteGateways"] |
| tags | error | The tags for operation "ExpressRouteConnections_Get" changed: ["ExpressRouteConnections"] -> ["ExpressRouteGateways"] |
| tags | error | The tags for operation "ExpressRouteConnections_Delete" changed: ["ExpressRouteConnections"] -> ["ExpressRouteGateways"] |
| tags | error | The tags for operation "ExpressRouteConnections_List" changed: ["ExpressRouteConnections"] -> ["ExpressRouteGateways"] |
| tags | error | The tags for operation "NetworkVirtualApplianceConnections_CreateOrUpdate" changed: [] -> ["NetworkVirtualApplianceConnections"] |
| tags | error | The tags for operation "NetworkVirtualApplianceConnections_Get" changed: [] -> ["NetworkVirtualApplianceConnections"] |
| tags | error | The tags for operation "NetworkVirtualApplianceConnections_Delete" changed: [] -> ["NetworkVirtualApplianceConnections"] |
| tags | error | The tags for operation "NetworkVirtualApplianceConnections_List" changed: [] -> ["NetworkVirtualApplianceConnections"] |
| tags | error | The tags for operation "VirtualHubBgpConnection_Get" changed: [] -> ["BgpConnections"] |
| tags | error | The tags for operation "VirtualHubBgpConnection_CreateOrUpdate" changed: [] -> ["BgpConnections"] |
| tags | error | The tags for operation "VirtualHubBgpConnection_Delete" changed: [] -> ["BgpConnections"] |
| tags | error | The tags for operation "VirtualHubBgpConnections_List" changed: [] -> ["BgpConnections"] |
| tags | error | The tags for operation "VirtualHubBgpConnections_ListLearnedRoutes" changed: [] -> ["BgpConnections"] |
| tags | error | The tags for operation "VirtualHubBgpConnections_ListAdvertisedRoutes" changed: [] -> ["BgpConnections"] |
| tags | error | The tags for operation "VirtualHubIpConfiguration_Get" changed: [] -> ["HubIpConfigurations"] |
| tags | error | The tags for operation "VirtualHubIpConfiguration_CreateOrUpdate" changed: [] -> ["HubIpConfigurations"] |
| tags | error | The tags for operation "VirtualHubIpConfiguration_Delete" changed: [] -> ["HubIpConfigurations"] |
| tags | error | The tags for operation "VirtualHubIpConfiguration_List" changed: [] -> ["HubIpConfigurations"] |
| tags | error | The tags for operation "HubRouteTables_CreateOrUpdate" changed: [] -> ["HubRouteTables"] |
| tags | error | The tags for operation "HubRouteTables_Get" changed: [] -> ["HubRouteTables"] |
| tags | error | The tags for operation "HubRouteTables_Delete" changed: [] -> ["HubRouteTables"] |
| tags | error | The tags for operation "HubRouteTables_List" changed: [] -> ["HubRouteTables"] |
| tags | error | The tags for operation "RoutingIntent_CreateOrUpdate" changed: [] -> ["RoutingIntents"] |
| tags | error | The tags for operation "RoutingIntent_Get" changed: [] -> ["RoutingIntents"] |
| tags | error | The tags for operation "RoutingIntent_Delete" changed: [] -> ["RoutingIntents"] |
| tags | error | The tags for operation "RoutingIntent_List" changed: [] -> ["RoutingIntents"] |

